[mandelbrot serial]:		[592.798] ms
Wrote image file mandelbrot-serial.ppm
Hello world from thread 0
Hello world from thread 1
Hello world from thread 0
Hello world from thread 1
Hello world from thread 0
Hello world from thread 1
Hello world from thread 0
Hello world from thread 1
Hello world from thread 0
Hello world from thread 1
[mandelbrot thread]:		[308.635] ms
Wrote image file mandelbrot-thread.ppm
Mismatch : [601][320], Expected : 160, Actual : 156
Mismatch : [604][337], Expected : 165, Actual : 166
Mismatch : [604][1212], Expected : 185, Actual : 165
Mismatch : [605][323], Expected : 194, Actual : 192
Mismatch : [606][1217], Expected : 253, Actual : 256
Mismatch : [607][324], Expected : 148, Actual : 146
Mismatch : [608][128], Expected : 145, Actual : 144
Mismatch : [609][1220], Expected : 240, Actual : 237
Mismatch : [610][129], Expected : 192, Actual : 162
Mismatch : [610][336], Expected : 218, Actual : 228
Mismatch : [610][337], Expected : 256, Actual : 246
Mismatch : [610][1225], Expected : 210, Actual : 165
Mismatch : [610][1226], Expected : 79, Actual : 78
Mismatch : [611][399], Expected : 198, Actual : 196
Mismatch : [611][1227], Expected : 70, Actual : 72
Mismatch : [614][339], Expected : 256, Actual : 217
Mismatch : [614][1226], Expected : 191, Actual : 192
Mismatch : [615][328], Expected : 102, Actual : 104
Mismatch : [615][338], Expected : 211, Actual : 215
Mismatch : [615][398], Expected : 94, Actual : 102
Mismatch : [616][1233], Expected : 211, Actual : 130
Mismatch : [617][1229], Expected : 206, Actual : 209
Mismatch : [618][340], Expected : 237, Actual : 152
Mismatch : [618][1233], Expected : 173, Actual : 179
Mismatch : [618][1235], Expected : 130, Actual : 181
Mismatch : [619][340], Expected : 158, Actual : 84
Mismatch : [619][399], Expected : 190, Actual : 256
Mismatch : [622][342], Expected : 242, Actual : 243
Mismatch : [622][343], Expected : 179, Actual : 190
Mismatch : [623][342], Expected : 213, Actual : 214
Mismatch : [623][1240], Expected : 73, Actual : 72
Mismatch : [624][333], Expected : 65, Actual : 63
Mismatch : [624][340], Expected : 87, Actual : 86
Mismatch : [624][344], Expected : 106, Actual : 114
Mismatch : [625][392], Expected : 249, Actual : 256
Mismatch : [625][1239], Expected : 102, Actual : 101
Mismatch : [626][335], Expected : 63, Actual : 64
Mismatch : [626][1238], Expected : 199, Actual : 208
Mismatch : [626][1239], Expected : 130, Actual : 132
Mismatch : [627][391], Expected : 221, Actual : 220
Mismatch : [627][393], Expected : 237, Actual : 256
Mismatch : [627][400], Expected : 147, Actual : 140
Mismatch : [628][391], Expected : 256, Actual : 236
Mismatch : [628][1240], Expected : 121, Actual : 163
Mismatch : [628][1246], Expected : 86, Actual : 85
Mismatch : [628][1247], Expected : 100, Actual : 97
Mismatch : [630][346], Expected : 120, Actual : 119
Mismatch : [630][391], Expected : 182, Actual : 198
Mismatch : [630][1240], Expected : 229, Actual : 230
Mismatch : [630][1244], Expected : 195, Actual : 251
Mismatch : [631][388], Expected : 256, Actual : 119
Mismatch : [631][1245], Expected : 256, Actual : 161
Mismatch : [632][342], Expected : 97, Actual : 94
Mismatch : [632][353], Expected : 205, Actual : 204
Mismatch : [632][354], Expected : 129, Actual : 135
Mismatch : [632][389], Expected : 65, Actual : 67
Mismatch : [632][1245], Expected : 83, Actual : 78
Mismatch : [633][343], Expected : 101, Actual : 108
Mismatch : [633][400], Expected : 104, Actual : 163
Mismatch : [634][378], Expected : 165, Actual : 164
Mismatch : [634][384], Expected : 175, Actual : 182
Mismatch : [634][388], Expected : 92, Actual : 83
Mismatch : [635][344], Expected : 137, Actual : 95
Mismatch : [635][347], Expected : 256, Actual : 248
Mismatch : [635][356], Expected : 201, Actual : 214
Mismatch : [635][358], Expected : 256, Actual : 178
Mismatch : [635][375], Expected : 193, Actual : 207
Mismatch : [635][382], Expected : 76, Actual : 77
Mismatch : [635][383], Expected : 211, Actual : 126
Mismatch : [635][384], Expected : 185, Actual : 192
Mismatch : [635][1244], Expected : 161, Actual : 154
Mismatch : [635][1246], Expected : 128, Actual : 127
Mismatch : [636][353], Expected : 136, Actual : 137
Mismatch : [636][354], Expected : 147, Actual : 136
Mismatch : [636][360], Expected : 104, Actual : 105
Mismatch : [636][1244], Expected : 123, Actual : 128
Mismatch : [637][369], Expected : 216, Actual : 215
Mismatch : [637][375], Expected : 75, Actual : 76
Mismatch : [637][378], Expected : 216, Actual : 217
Mismatch : [637][397], Expected : 242, Actual : 241
Mismatch : [637][400], Expected : 200, Actual : 239
Mismatch : [637][1245], Expected : 176, Actual : 191
Mismatch : [637][1247], Expected : 146, Actual : 149
Mismatch : [637][1256], Expected : 67, Actual : 65
Mismatch : [638][347], Expected : 128, Actual : 217
Mismatch : [638][352], Expected : 107, Actual : 106
Mismatch : [638][357], Expected : 219, Actual : 184
Mismatch : [638][371], Expected : 76, Actual : 74
Mismatch : [638][384], Expected : 139, Actual : 164
Mismatch : [638][404], Expected : 236, Actual : 235
Mismatch : [638][1247], Expected : 159, Actual : 158
Mismatch : [638][1253], Expected : 133, Actual : 122
Mismatch : [638][1254], Expected : 131, Actual : 132
Mismatch : [638][1257], Expected : 42, Actual : 43
Mismatch : [639][351], Expected : 151, Actual : 160
Mismatch : [639][385], Expected : 77, Actual : 78
Mismatch : [639][1249], Expected : 124, Actual : 143
Mismatch : [640][370], Expected : 79, Actual : 80
Mismatch : [640][401], Expected : 36, Actual : 37
Mismatch : [640][1254], Expected : 73, Actual : 72
Mismatch : [641][342], Expected : 87, Actual : 86
